Station Name,Lat,Lon,Max,Min,Avg
Fortuna,48.96375,-103.80585,32.902633333333334,13.165266666666666,23.034133333333333
Fox,48.87775,-95.85017,36.66043333333334,20.651766666666667,28.6564
Froid,48.25794,-104.49668,33.9839,13.567166666666667,23.775666666666666
Galesburg,47.20973,-97.43057,38.1743,19.8049,28.9899
Garrison,47.71023,-101.67955,34.51363333333334,17.005833333333335,25.759933333333333
Genoa,48.15324,-100.99431,35.93663333333333,15.111733333333335,25.5244
Glyndon,46.86628,-96.56763,38.72456666666667,21.503633333333333,30.11433333333333
Grafton,48.41233,-97.18599,36.654333333333334,19.020500000000002,27.837733333333336
Grand Forks,47.83634,-97.06685,37.417833333333334,20.191133333333333,28.804733333333335
Greenbush,48.70367,-96.32539,36.23246666666667,20.017,28.125066666666665
Grenora,48.73502,-103.88123,32.962833333333336,9.196200000000001,21.0797
Harvey,47.73047,-99.91938,35.92006666666667,14.9902,25.4553
Hawkeye,48.02412,-102.94069,33.96483333333334,15.7177,24.8415
Hazen,47.30177,-101.67933,36.677800000000005,15.314233333333334,25.996199999999998
Hettinger,46.01255,-102.64564,38.32806666666667,13.5382,25.9333
Hillsboro,47.35332,-96.92188,37.57293333333334,19.51626666666667,28.5448
Hofflund,48.16471,-103.10862,34.0737,13.1492,23.61163333333333
Hope,47.36845,-97.63963,37.4628,18.223533333333332,27.843466666666664
Hubbard,46.82059,-94.99579,40.57706666666666,21.787766666666666,31.1827
Humboldt,48.88351,-97.15029,35.85906666666666,18.346566666666668,27.103066666666667
Inkster,48.16632,-97.71045,37.01793333333333,19.836566666666666,28.427533333333333
Jamestown,46.90669,-98.92778,37.126133333333335,18.864233333333335,27.9954
Karlsruhe,48.12217,-100.62569,36.30086666666667,15.577266666666667,25.9393
Kempton,47.78041,-97.49431,36.888400000000004,18.9139,27.901466666666668
Kennedy,48.63667,-97.04094,36.15756666666667,18.0884,27.123233333333335
Langdon,48.75989,-98.34458,33.60693333333333,16.1959,24.901733333333333
Leonard,46.72939,-97.28348,39.16053333333333,20.654566666666668,29.907766666666664
Liberty,47.905682,-102.219613,35.0453,17.180933333333332,26.113333333333333
Linton,46.32716,-100.28146,36.98863333333334,16.472766666666665,26.730866666666667
Lisbon,46.44473,-97.72105,39.091766666666665,21.617133333333335,30.354699999999998
Little Falls,45.93214,-94.25144,42.584966666666666,23.804266666666667,33.194966666666666
Logan Center,47.80258,-97.77438,36.3894,19.4132,27.9015
Maddock,47.99178,-99.53329,35.99146666666666,14.893666666666666,25.4428
Mandan,46.77356,-100.91401,36.783633333333334,16.2565,26.520300000000002
Marion,46.56453,-98.32759,38.29833333333333,18.837033333333334,28.567866666666667
Mavie,48.12115,-95.97144,37.26573333333333,21.22736666666667,29.24683333333333
Mayville,47.49846,-97.26178,37.359566666666666,20.0455,28.7027
McHenry,47.68494,-98.62346,35.45806666666667,17.538366666666665,26.49843333333333
Medicine Hole,47.55994,-102.99209,34.841233333333335,17.663666666666664,26.252666666666666
Michigan,48.01947,-98.17213,35.367666666666665,16.7425,26.055233333333334
Minot,48.18043,-101.30797,35.694433333333336,15.146566666666667,25.420633333333335
Mohall,48.76384,-101.53363,35.55876666666666,16.151533333333333,25.8553
Mooreton,46.22509,-96.89536,40.838300000000004,21.620366666666666,31.229566666666663
Mott,46.37979,-102.32195,37.2346,13.046733333333332,25.140933333333333
Niles,48.248301,-99.329271,35.9148,15.788633333333333,25.8519
Noonan,48.74974,-103.00602,31.599333333333334,14.139733333333334,22.8697
Oakes,46.06672,-98.102807,39.68136666666667,18.3388,29.010466666666666
Ottertail,46.41095,-95.5743,39.46053333333334,23.490066666666667,31.475533333333335
Parkers Prairie,46.16941,-95.35602,40.66103333333333,23.559633333333334,32.110566666666664
Pekin,47.80764,-98.31067,35.97833333333333,18.212533333333333,27.095666666666666
Perham,46.61049,-95.60188,39.6247,22.526966666666667,31.076066666666666
Perley,47.17992,-96.68974,38.3903,20.7649,29.577833333333334
